Date,ELET3.SA,TRPL4.SA,TAEE11.SA,VIVT3.SA,CYRE3.SA,BBAS3.SA,SANB11.SA,BBSE3.SA,IBOV
2017-06-07,10.780997276306152,10.637351036071777,14.776636123657227,26.877254486083984,8.266066551208496,23.545578002929688,21.45462989807129,21.37647247314453,63171.0
2017-06-08,10.42406177520752,10.444902420043945,14.525737762451172,26.67190933227539,8.15168285369873,23.19317054748535,20.801523208618164,21.225481033325195,62756.0
2017-06-09,10.488960266113281,10.403779029846191,14.426695823669434,26.114578247070312,8.349947929382324,22.81617546081543,20.091266632080078,21.398046493530273,62211.0
2017-06-12,10.351054191589355,10.481087684631348,14.571956634521484,26.03390121459961,8.174560546875,22.275278091430664,20.017791748046875,20.772499084472656,61700.0
2017-06-13,10.099578857421875,10.426807403564453,14.426695823669434,26.400575637817383,8.090678215026855,22.52067756652832,19.968809127807617,20.60712242126465,61829.0
2017-06-14,10.018458366394043,10.500826835632324,14.38047981262207,26.70125389099121,8.00679874420166,22.512466430664062,20.344343185424805,20.743736267089844,61923.0
2017-06-15,10.018458366394043,10.500826835632324,14.38047981262207,26.70125389099121,8.00679874420166,22.512466430664062,20.344343185424805,20.743736267089844,
2017-06-16,10.059019088745117,10.444902420043945,14.393685340881348,26.877254486083984,7.953419208526611,22.59465217590332,20.36067008972168,20.6502628326416,61626.0
2017-06-19,10.099578857421875,10.444902420043945,14.235220909118652,26.407909393310547,8.037300109863281,22.298765182495117,20.54027557373047,21.07448387145996,62014.0
2017-06-20,9.685860633850098,10.342920303344727,14.182400703430176,26.290576934814453,7.762781620025635,21.369991302490234,20.197397232055664,20.362655639648438,60766.0
2017-06-21,9.612853050231934,10.436676025390625,14.222018241882324,26.09256935119629,7.778032302856445,21.254919052124023,20.328018188476562,20.34827423095703,60762.0
2017-06-22,10.22937297821045,10.334694862365723,14.255029678344727,26.349245071411133,7.694151878356934,21.369991302490234,20.319852828979492,20.599929809570312,61272.0
2017-06-23,9.726421356201172,10.351143836975098,14.261631965637207,26.26123809814453,7.709401607513428,20.942590713500977,20.37700080871582,20.34827423095703,61087.0
2017-06-26,9.937335968017578,10.458059310913086,14.545547485351562,26.767244338989258,8.022050857543945,22.167253494262695,20.83418083190918,20.628694534301758,62188.0
2017-06-27,9.815654754638672,10.428452491760254,14.354069709777832,26.495912551879883,8.136432647705078,21.452180862426758,20.303524017333984,20.168519973754883,61675.0
2017-06-28,10.261820793151855,10.403779029846191,14.19560432434082,26.481246948242188,8.159309387207031,21.69053840637207,20.213722229003906,19.974384307861328,62018.0
2017-06-29,9.823765754699707,10.490957260131836,14.466315269470215,26.62058448791504,8.311819076538086,21.830270767211914,20.197397232055664,20.204471588134766,62239.0
2017-06-30,10.099578857421875,10.609387397766113,14.55214786529541,26.635250091552734,8.357572555541992,22.027523040771484,20.40965461730957,20.599929809570312,62900.0
2017-07-03,10.221260070800781,10.584715843200684,14.710610389709473,26.438987731933594,8.304192543029785,22.331640243530273,20.842336654663086,20.218852996826172,63280.0
2017-07-04,10.261820793151855,10.576489448547363,14.941702842712402,26.438987731933594,8.304192543029785,22.446712493896484,20.76886558532715,20.125377655029297,63232.0
2017-07-05,11.056807518005371,10.625835418701172,14.65778923034668,26.879634857177734,8.342321395874023,22.331640243530273,20.83418083190918,19.816200256347656,63154.0
2017-07-06,12.841472625732422,10.946586608886719,14.32766342163086,26.013029098510742,8.258440017700195,22.18369483947754,20.499452590942383,19.66520881652832,62470.0
2017-07-07,12.898258209228516,11.084753036499023,14.60496997833252,25.653152465820312,8.197436332702637,21.88780403137207,20.728042602539062,19.693967819213867,62322.0
2017-07-10,12.370970726013184,10.99264144897461,15.159586906433105,25.572368621826172,8.235565185546875,22.11794090270996,20.940305709838867,19.880910873413086,63025.0
2017-07-11,11.941028594970703,10.971257209777832,15.133177757263184,25.998334884643555,8.403326034545898,23.04671859741211,21.37299346923828,20.039098739624023,63832.0
2017-07-12,12.322296142578125,11.086400032043457,15.152989387512207,26.725404739379883,8.616841316223145,23.704246520996094,21.952625274658203,20.398605346679688,64836.0
